augmentation_idx,synthetic_days,avg,min,max,pct_change_vs_no_aug
0,0,0.06430057156831026,0.05456536263227463,0.08148960769176483,0.0
1,252,0.07084444118663669,0.05543913319706917,0.09069283306598663,10.17700069955753
2,504,0.060811588540673256,0.04275797680020332,0.07494047284126282,-5.426052898970664
3,756,0.06830038363114,0.05636081099510193,0.09214145690202713,6.220492237118761
4,1008,0.0760026266798377,0.06683111190795898,0.08398904651403427,18.19899081160681
5,1260,0.08442976418882608,0.06843041628599167,0.10365159809589386,31.304842444722915
6,1512,0.07792765973135829,0.05535050854086876,0.09666533023118973,21.192794761662697
7,1764,0.08378882333636284,0.06479331105947495,0.11320503801107407,30.308053712009492
8,2016,0.08509464049711823,0.05960524454712868,0.11045603454113007,32.33885550568896
9,2268,0.0964939696714282,0.07599738985300064,0.17059014737606049,50.06704811156618
10,2520,0.09290552791208029,0.06662111729383469,0.14249959588050842,44.48631737803653
