0,1,2,3,4,5,6,7,8,9,10
0.12761813402175903,0.08689627051353455,0.10939452797174454,0.08141668885946274,0.1045738086104393,0.13667285442352295,0.14050032198429108,0.13735027611255646,0.1287669986486435,0.2676165699958801,0.10899871587753296
0.09009284526109695,0.0960288867354393,0.07588639110326767,0.09932108223438263,0.11432316154241562,0.13474956154823303,0.1120922639966011,0.13202974200248718,0.09824545681476593,0.06172638386487961,0.24420249462127686
0.10337391495704651,0.10287506878376007,0.09173838794231415,0.11595625430345535,0.07962086796760559,0.12816037237644196,0.1215876117348671,0.09569472819566727,0.08674962818622589,0.11983242630958557,0.1591721922159195
0.08022552728652954,0.13481615483760834,0.09392376244068146,0.0716911181807518,0.10199673473834991,0.11492065340280533,0.11743901669979095,0.1537199467420578,0.12682272493839264,0.09433489292860031,0.1280278116464615
0.10838747024536133,0.08700424432754517,0.07420160621404648,0.08100111037492752,0.10904320329427719,0.11681289970874786,0.10101083666086197,0.1155647337436676,0.14287996292114258,0.22630590200424194,0.15153548121452332
0.12895426154136658,0.09490568190813065,0.1086965873837471,0.11768007278442383,0.1152166947722435,0.12818020582199097,0.09318781644105911,0.11762341856956482,0.11095160245895386,0.10948056727647781,0.10462427884340286
0.09285303205251694,0.08863703161478043,0.06523723155260086,0.08905167877674103,0.10156776010990143,0.12919071316719055,0.09693130105733871,0.10878980904817581,0.09332163631916046,0.11371883004903793,0.07658429443836212
0.13261394202709198,0.14416749775409698,0.10272989422082901,0.11430169641971588,0.12918218970298767,0.11259251087903976,0.10346897691488266,0.11119911819696426,0.11225217580795288,0.07173845171928406,0.09287096560001373
0.09288999438285828,0.12821274995803833,0.09440949559211731,0.07072363793849945,0.11425809562206268,0.10992901027202606,0.09983758628368378,0.08356615900993347,0.0953868180513382,0.22841417789459229,0.24813011288642883
0.11441188305616379,0.10012827813625336,0.09133993089199066,0.12859997153282166,0.10794956237077713,0.1028527170419693,0.13337929546833038,0.10899727791547775,0.10957269370555878,0.12403366714715958,0.18774670362472534
