augmentation_idx,avg,min,max
0,0.10732269193977118,0.09009284526109695,0.13261394202709198
1,0.10407601203769445,0.08700424432754517,0.14416749775409698
2,0.09161575697362423,0.07420160621404648,0.10939452797174454
3,0.0963024627417326,0.0716911181807518,0.12859997153282166
4,0.10861612763255835,0.10156776010990143,0.12918218970298767
5,0.12181699089705944,0.10992901027202606,0.13667285442352295
6,0.11071836110204458,0.09693130105733871,0.14050032198429108
7,0.11590613797307014,0.09569472819566727,0.1537199467420578
8,0.10941501334309578,0.09332163631916046,0.14287996292114258
9,0.13598236441612244,0.07173845171928406,0.2676165699958801
10,0.147147330455482,0.09287096560001373,0.24813011288642883
