,0
33,"[12.25062752 12.32202148 12.22962856 12.59030437 12.54979134 12.47543144
 11.97518158 12.09252453 11.9727087  11.97666264 11.87760067 11.97765064
 12.03076363 12.07300663 11.9230547  11.95937061 11.95492363 11.90181065
 11.83288479]"
34,"[11.91020966 11.86524868 11.43293285 11.57695484 11.43540192 11.26988602
 11.25457001 11.30274391 11.56213188 11.42700291 11.37561893 11.5512619
 11.93837166 12.03545761 11.94627666 11.99370861 12.09153652 12.34499836
 12.47543144]"
35,"[12.45764446 12.28471851 12.05126858 12.09869862 11.87858868 11.83436871
 12.32893944 12.05769157 12.24914455 12.16589451 12.21159554 12.38896942
 11.90107059 11.89489269 11.54064083 11.64735889 11.61104679 11.63624382
 11.41045284 11.32151794 11.34152699]"
36,"[11.51025486 11.40007496 11.60931683 11.66267681 11.75556183 11.75531483
 11.62611675 11.48555183 11.08633804 11.10313511 11.07299709 10.83707523]"
37,"[10.89315224 11.30323601 11.25605202 11.233325   11.18984509 11.23406506
 10.94453621 11.06731606 11.02260017 10.89068317 11.04829311 11.00012016
 11.27853107 11.41415596 11.40896702 11.48727798]"
38,"[11.45318699 11.41020393 11.38648796 11.31830502 11.32744503 11.67502785
 11.63599586 11.64810085 11.56657887 11.52433491 11.47566795 11.54632282
 11.51914692 11.7162838  11.67996883 11.75926971 11.65156078 11.91910172]"
39,"[11.83510971 11.79681969 11.80818176 11.88698864 11.8333807  11.64488888
 11.58609486 11.50654793 11.69059086 11.63846874 11.54335594 11.53199387
 11.59227085 11.40007496 11.53026485 11.40773392 11.31435299]"
40,"[11.6752758  11.63451385 11.61870384 11.62562084 11.75556183 11.7088728
 11.71776581 11.9447937  12.03348064 12.31732941 12.30028248 12.36179638
 12.52656937]"
41,"[12.81733513 12.80275917 12.72395515 12.73457527 12.63205624 12.46975231
 12.48136234 12.42207432 12.49741936 12.72741222 12.70542431 12.59821224
 12.70048523 12.96901512]"
42,"[13.02929211 13.09945107 13.00137711 12.96975613 12.91269112 13.10241508
 13.200243   13.38033295 13.3252449  13.40330696 13.42257786 13.45049286
 13.47173882 13.64046574 13.66096973 13.71062279 13.57475281]"
43,"[13.5522728  12.84895515 12.66095734 12.69776821 12.59302139 12.54954243
 12.64564323 12.74989223 12.59895134 12.67158031 12.62390232 12.42602444
 12.59895134 12.74766827]"
44,"[12.98877907 12.71580124 12.74099922 12.73482323 12.56436539 12.29138851
 12.14242554 12.35290051 12.30052948 12.51520634]"
45,"[12.66688728 12.65305424 12.72247314 12.67948627 12.5100174  12.67009926
 12.63353729 12.72864532 12.9732151  13.03868198 12.93294716 12.82993221
 12.70962334 12.87884712 12.91145611 12.96407413 13.06215    12.97692013
 13.22321606 13.50928879 13.65701675]"
46,"[13.83661366 14.03226757 14.05647755 14.03572655 14.01942158 14.01373959
 14.39121437 14.4366703  14.42752647 14.30425549 14.67530823 15.05994511
 15.19729996 15.44952583 15.36577988 15.74597263]"
47,"[15.31909084 15.21755886 15.64938068 15.80106163 15.92680454 16.07601738
 16.69410324 16.69534302 16.51475334 16.665205   16.77957726 17.16347885
 17.46560478 17.37198067 17.57059479 17.92633247 18.32505226 18.10642433]"
48,"[17.14050293 16.40259933 15.61454678 16.31810951 15.85195065 15.55476475
 15.65308666 15.46089077 16.02141571 16.31737518]"
49,"[16.71708107 16.45274925 16.63975716 17.10147285 17.2185688  17.11975098
 16.83639717 16.90136719 17.255867   17.66966057 17.66002464]"
50,"[17.74772453 17.27291489 17.27662277 17.14569092 17.04464912 16.53254509
 16.63432312 16.73363113 17.03798103 17.21090508 17.310709   17.56046867]"
51,"[17.31095886 17.35518074 17.08220482 16.92681694 16.93027306 16.23041725
 16.0389595  15.60491467 16.13653946 15.97670555 15.76721668 16.15185547
 15.75239468 15.21632099 14.84181213 14.82847214 14.43568134]"
52,"[13.55301285 14.19210148 13.99224758 13.73483372 13.59995174 13.54436874
 13.94036865 12.74470329 12.23901749 12.51989937 12.39415646 12.47419834
 12.76422024 12.87464523]"
53,"[12.79880524 13.20716    13.14861202 13.08413506 12.57301235 12.57424641
 12.42256546 12.5446043  12.01692963 11.46726894 11.68145275 11.7439518
 11.63994789 11.29014301 10.98332214 11.0599041  10.68934727 10.70540333
 10.21799564]"
54,"[10.86573124 10.8741293  10.94404316 10.81829929 10.37239647 10.84893322
 10.67205334 10.71034336 11.37759399 11.1359911  11.31904602 10.9704752
 10.82225418 10.8812933  11.50481796 11.50457191 11.24320698 11.63772583
 11.77927971]"
55,"[11.55669785 11.46726894 11.58807182 11.30076313 11.15773106 11.03865814
 11.24098206 11.10535812 13.32549191 13.28547096]"
56,"[13.71062279 13.50039387 13.4151659  13.44036388 13.63947582 13.79634571
 14.18715858 14.65134621 14.36008835 14.69630718]"
