asset,n_total,n_train,n_test,real_delta,null_q05,null_q50,null_q95,inside_null_90,acf_r_lag1,acf_abs_r_lag1,excess_kurtosis
sp500,10086,8068,2018,0.02972892422987811,0.022171012095523097,0.026025066324402255,0.030271856841293146,True,-0.019764639355050875,0.2165348866418942,3.2109819437288953
goog,3774,3019,755,0.05747505833107695,0.04027113466121164,0.051093383227201444,0.0628652167749384,True,-0.008139829003980819,0.09346624901672841,6.114176744405713
zcf,4762,3809,953,0.017284545591621552,0.014999101032585371,0.02015366752454963,0.02585083688363323,True,0.021125151047596043,0.12495819432850837,2.0247327803991544
