seed,sample_id,family,persistence,pooled_delta,acf_r_lag1,acf_abs_r_lag1,oos_corr,directional_accuracy,strategy_edge,strategy_sharpe
0,real_eval,real,,0.1707801563976081,0.04302223057157771,0.10466730590703874,-0.14264523167056914,0.4709418837675351,-0.1541358544859448,-1.7532057073740068
0,iid_signs,iid_signs,,0.12615007029653177,-0.03471877686573006,0.10466730590703874,-0.0853826584737585,0.48897795591182364,-0.02549888819104056,-0.28837183115584947
0,markov_signs_p0.65,markov_signs,0.65,0.4204046980951941,0.17357747520589145,0.10466730590703874,0.148859435727421,0.6092184368737475,0.21568668011962996,2.4676685102595495
0,markov_signs_p0.75,markov_signs,0.75,0.5743007587879231,0.24459324038752855,0.10466730590703874,0.21347171514847993,0.655310621242485,0.3270929119290049,3.802811931762571
0,markov_signs_p0.85,markov_signs,0.85,1.0767778425945937,0.38798428559646875,0.10466730590703874,0.4328098383452286,0.811623246492986,0.5954633513356272,7.435446200003886
0,markov_signs_p0.90,markov_signs,0.9,1.2688738202916936,0.4301586647982642,0.10466730590703874,0.42358458124158116,0.843687374749499,0.6482971055003491,8.266610756951039
1,real_eval,real,,0.05765655778370849,-0.027485721646338616,0.20460852507759072,0.0007793476283607775,0.501002004008016,-0.003596563693017449,-0.06213624873289935
1,iid_signs,iid_signs,,0.08753807144757722,-0.01041214653741782,0.20460852507759072,-0.023269544700259763,0.4749498997995992,-0.03488718012902199,-0.6031534854472932
1,markov_signs_p0.65,markov_signs,0.65,0.27210566689588284,0.23898215151243987,0.20460852507759072,0.2110656366619031,0.6372745490981964,0.20014319528745264,3.5428394411416977
1,markov_signs_p0.75,markov_signs,0.75,0.24287375781767434,0.2016816428002466,0.20460852507759072,0.26410875471412804,0.6392785571142284,0.2100852589696693,3.7282448766552747
1,markov_signs_p0.85,markov_signs,0.85,0.5386477080679133,0.4662353414392976,0.20460852507759072,0.44645398328011204,0.8376753507014028,0.46961829025915847,9.440244538295277
1,markov_signs_p0.90,markov_signs,0.9,0.6333222910196539,0.5224039322851136,0.20460852507759072,0.5441000294526039,0.9118236472945892,0.5544451906435188,12.013137336339039
2,real_eval,real,,0.11178853819918606,0.006404742168986558,0.11431692290613793,-0.0010051429370195885,0.501002004008016,0.017695052909824167,0.27543832174563987
2,iid_signs,iid_signs,,0.12014984549626144,-0.0063123835255837245,0.11431692290613793,-0.11418114746181171,0.5370741482965932,0.028989728102654235,0.4514642932668405
2,markov_signs_p0.65,markov_signs,0.65,0.2328219239205854,0.16060322659981333,0.11431692290613793,0.22208494745638094,0.6372745490981964,0.1595413447289133,2.5152640028613713
2,markov_signs_p0.75,markov_signs,0.75,0.43853732276106133,0.27772423952660463,0.11431692290613793,0.2346392273216469,0.7054108216432866,0.29406851345619095,4.777504837407177
2,markov_signs_p0.85,markov_signs,0.85,0.6339453628643258,0.4097059274787538,0.11431692290613793,0.4037622595052052,0.8076152304609219,0.4271147115948969,7.32572879060075
2,markov_signs_p0.90,markov_signs,0.9,0.835117117415524,0.48654126184862445,0.11431692290613793,0.5428975822618777,0.875751503006012,0.5976718376553657,11.480202981552353
3,real_eval,real,,0.2075912014472146,0.09521818664617115,0.3371458492435915,0.06815356639157007,0.48697394789579157,-0.03543302137852271,-0.6616094734717973
3,iid_signs,iid_signs,,0.11930520008223028,0.043310288657904664,0.3371458492435915,0.017793009878178733,0.5170340681362725,0.031183283176437683,0.5824099628440811
3,markov_signs_p0.65,markov_signs,0.65,0.06836838106705245,-0.011363237726340373,0.3371458492435915,-0.21610256999834496,0.3907815631262525,-0.15423079142258425,-2.9279177711321998
3,markov_signs_p0.75,markov_signs,0.75,0.4231630550995215,0.246544402656823,0.3371458492435915,0.21033860704301519,0.6733466933867736,0.207024339395242,3.9904103587481976
3,markov_signs_p0.85,markov_signs,0.85,0.9019039600926998,0.46462426949438645,0.3371458492435915,0.4546471404126549,0.749498997995992,0.33989218539900495,6.921934405039864
3,markov_signs_p0.90,markov_signs,0.9,1.0682839105765787,0.5212259395055135,0.3371458492435915,0.5835909408086329,0.8597194388777555,0.4872736900241505,11.107103779935246
4,real_eval,real,,0.5685226283209697,-0.1500803728499933,0.3846118050216272,0.13209394555536386,0.4969939879759519,-0.04637431998259592,-0.3251774294487742
4,iid_signs,iid_signs,,0.4257864272673075,0.007817988617337051,0.3846118050216272,0.0890194152595419,0.5110220440881763,0.10869821677224135,0.7629052599091347
4,markov_signs_p0.65,markov_signs,0.65,0.2670765723920338,0.03411130794356775,0.3846118050216272,-0.04056637654772528,0.5511022044088176,0.01668442963288205,0.11697051290629139
4,markov_signs_p0.75,markov_signs,0.75,1.3266442779024559,0.34584369160393674,0.3846118050216272,0.31857268250801385,0.5791583166332666,0.2529494370964825,1.7844997908094742
4,markov_signs_p0.85,markov_signs,0.85,1.4702828425228118,0.43560988872240186,0.3846118050216272,0.39821029402963476,0.8136272545090181,0.8511105907992947,6.438985534116148
4,markov_signs_p0.90,markov_signs,0.9,1.8796850931701248,0.4445078142557803,0.3846118050216272,0.4393304749653479,0.843687374749499,0.840287019332922,6.343524163629417
5,real_eval,real,,0.1340077208820632,0.021275130420551746,0.1992837797438765,-0.07497822251831492,0.49899799599198397,-0.05693816992345932,-0.769335626246006
5,iid_signs,iid_signs,,0.11432315170022053,-0.0014848003556958303,0.1992837797438765,0.040791126790686846,0.5130260521042084,-0.01107515416294603,-0.14946550171702472
5,markov_signs_p0.65,markov_signs,0.65,0.1570669460698277,0.10888723173530765,0.1992837797438765,0.03060570771057522,0.5571142284569138,0.13114553335085183,1.7809926990901004
5,markov_signs_p0.75,markov_signs,0.75,0.33723992435239447,0.23280838650810895,0.1992837797438765,0.19132961423796047,0.7214428857715431,0.33651018818029604,4.739835242248914
5,markov_signs_p0.85,markov_signs,0.85,0.43024694885413267,0.33145753779701187,0.1992837797438765,0.29896800453930134,0.7735470941883767,0.43649161550179033,6.344236258503864
5,markov_signs_p0.90,markov_signs,0.9,0.6647167911982278,0.47627831958605976,0.1992837797438765,0.5436363991719694,0.8356713426853707,0.5730350024967388,8.855812355841472
6,real_eval,real,,0.1477365185070746,-0.023314802325394388,0.23843239724476467,0.0660356076003327,0.5150300601202404,0.0009266867212836757,0.016710478287303005
6,iid_signs,iid_signs,,0.12799791411409261,-0.025858086534304246,0.23843239724476467,-0.0014662033187443084,0.5150300601202404,0.0002088066387845616,0.0037696777951702707
6,markov_signs_p0.65,markov_signs,0.65,0.1813626708335386,0.1630787188845624,0.23843239724476467,0.24023437715670762,0.6132264529058116,0.12520870661442565,2.2859249871603473
6,markov_signs_p0.75,markov_signs,0.75,0.2898812663951621,0.26406022544295327,0.23843239724476467,0.24976125206497185,0.7114228456913828,0.3009260550504015,5.811694994846125
6,markov_signs_p0.85,markov_signs,0.85,0.6362626668825397,0.45257796782753895,0.23843239724476467,0.4818422055554552,0.8136272545090181,0.41264029789357515,8.393639347155794
6,markov_signs_p0.90,markov_signs,0.9,0.5870447579245963,0.455431862068223,0.23843239724476467,0.48639884303355485,0.8677354709418837,0.4795479147936048,10.381777495891548
7,real_eval,real,,0.06686162494331413,0.01867556027762853,0.19407709530575004,-0.05260294799518934,0.503006012024048,-0.022446346269289836,-0.3622400798608402
7,iid_signs,iid_signs,,0.07308205102557519,-0.0372553725931495,0.19407709530575004,0.055047001335302215,0.48697394789579157,0.019336046774353372,0.31200286717985903
7,markov_signs_p0.65,markov_signs,0.65,0.13558668136696425,0.08911678594407338,0.19407709530575004,0.05592287343734541,0.49298597194388777,-0.009133103523383425,-0.14737930078767922
7,markov_signs_p0.75,markov_signs,0.75,0.32651046515735205,0.262614255002352,0.19407709530575004,0.33320148000236427,0.6673346693386774,0.2929270248811494,4.950794897157051
7,markov_signs_p0.85,markov_signs,0.85,0.5707490558541187,0.39891690372394517,0.19407709530575004,0.41670953923533877,0.7855711422845691,0.37903043102255957,6.626162367715003
7,markov_signs_p0.90,markov_signs,0.9,0.6523902049767837,0.4978191818866685,0.19407709530575004,0.456870738562074,0.8256513026052105,0.4504536282828025,8.173289637494673
8,real_eval,real,,0.052833027921148884,0.038127187372924656,0.07457899486697697,0.02963823618718184,0.4909819639278557,-0.04358615263533629,-0.8739581065055687
8,iid_signs,iid_signs,,0.042126918523434524,-0.02125222327502084,0.07457899486697697,-0.0686446573146361,0.4649298597194389,-0.05126375340417659,-1.028846627266768
8,markov_signs_p0.65,markov_signs,0.65,0.17233101210959406,0.2161396999094317,0.07457899486697697,0.20263506371356343,0.591182364729459,0.11466643983460988,2.3208470048916165
8,markov_signs_p0.75,markov_signs,0.75,0.2602679552201769,0.29287266984078014,0.07457899486697697,0.22785528986023076,0.7214428857715431,0.25431899421293247,5.37825673494649
8,markov_signs_p0.85,markov_signs,0.85,0.39297241871303934,0.4150048828553364,0.07457899486697697,0.3746621634801978,0.7975951903807615,0.3581500341205388,8.051716691077429
