stage,protocol,synthetic_proportion_pct,mean_mape,min_mape,max_mape,mean_pct,min_pct,max_pct,n
tmtr_continuous_offsets,tmtr_continuous_offset30,0,0.08823541986445582,0.048197578638792,0.1225146502256393,0.0,0.0,0.0,6
tmtr_continuous_offsets,tmtr_continuous_offset30,10,0.126076806957523,0.0547189526259899,0.1739031374454498,50.493717040173344,-46.44450532590425,125.33806428804026,6
tmtr_continuous_offsets,tmtr_continuous_offset30,20,0.0873645860701799,0.0536233000457286,0.1420803368091583,2.196134385702423,-42.811402197007745,49.764656885501175,6
tmtr_continuous_offsets,tmtr_continuous_offset30,30,0.11967912688851352,0.0845434963703155,0.1681388020515442,51.23321563054529,-30.993153704794548,190.41324124344698,6
tmtr_continuous_offsets,tmtr_continuous_offset30,40,0.12659281119704244,0.0916993021965026,0.1548037528991699,62.74781596844745,-25.152378080811598,221.1857468179439,6
tmtr_continuous_offsets,tmtr_continuous_offset30,50,0.13762046334644154,0.0345988608896732,0.2735295295715332,74.60868086736028,-66.83730206174575,223.76313483569385,6
tmtr_continuous_offsets,tmtr_continuous_offset30,60,0.2636065855622291,0.1452872902154922,0.4165556728839874,237.00377945647244,42.198129239299085,651.2955502418126,6
tmtr_continuous_offsets,tmtr_continuous_offset30,70,0.2124969698488712,0.1106406897306442,0.4487045407295227,155.10105347747236,30.959814845909534,481.41684003234946,6
tmtr_continuous_offsets,tmtr_continuous_offset30,80,0.22394487882653868,0.1193078830838203,0.3820084035396576,202.13397572525514,16.771107457899465,692.5883713008701,6
tmtr_continuous_offsets,tmtr_continuous_offset30,90,0.06265469236920272,0.0204286146908998,0.0912965685129165,-17.174968007074458,-80.00574731837995,89.42148359178381,6
tmtr_continuous_offsets,tmtr_continuous_offset30,100,0.06533412697414552,0.0490641668438911,0.0797746926546096,-17.79579429803091,-45.16541251183518,65.51597592166722,6
tmtr_continuous_offsets,tmtr_continuous_offset50,0,0.07902853873868779,0.038433238863945,0.109288603067398,0.0,0.0,0.0,6
tmtr_continuous_offsets,tmtr_continuous_offset50,10,0.2807399133841197,0.156877726316452,0.4891729652881622,297.08648906969563,50.39603317810703,605.7954604457124,6
tmtr_continuous_offsets,tmtr_continuous_offset50,20,0.28855390598376585,0.1700832247734069,0.3935126662254333,322.96235418913597,143.61350922964456,886.935074330871,6
tmtr_continuous_offsets,tmtr_continuous_offset50,30,0.2730681722362836,0.1526119261980056,0.3773685395717621,317.9924336349204,54.7869351081657,847.0217830181401,6
tmtr_continuous_offsets,tmtr_continuous_offset50,40,0.3454289734363556,0.2152686864137649,0.4684616327285766,382.10774054162795,228.79084577885044,863.8946173849289,6
tmtr_continuous_offsets,tmtr_continuous_offset50,50,0.2557921484112739,0.1758100986480713,0.3181604743003845,275.6078855738433,136.9113114328258,727.826339140148,6
tmtr_continuous_offsets,tmtr_continuous_offset50,60,0.26676269620656967,0.2075347751379013,0.412537932395935,276.0101462820084,99.13667875881802,495.2238177659514,6
tmtr_continuous_offsets,tmtr_continuous_offset50,70,0.3437184616923332,0.2271902561187744,0.4771119058132171,368.8657056802269,136.71542165806787,552.5934743275557,6
tmtr_continuous_offsets,tmtr_continuous_offset50,80,0.4359844923019409,0.2290018796920776,0.5695494413375854,486.9391260547731,243.82317922410527,814.7881024080808,6
tmtr_continuous_offsets,tmtr_continuous_offset50,90,0.5441071689128876,0.3766846656799316,0.5945739150047302,693.1331595982901,244.66966829801194,1327.9238108088095,6
tmtr_continuous_offsets,tmtr_continuous_offset50,100,0.5929165780544281,0.5908096432685852,0.5937798619270325,751.950428392253,440.5958413653018,1444.8062217476588,6
tmtr_reference,tmtr_reference,0,0.11369125917553898,0.0854933485388755,0.1538557857275009,0.0,0.0,0.0,6
tmtr_reference,tmtr_reference,10,0.11250558371345198,0.0984241142868995,0.1450442671775818,5.900211905164422,-36.02833080244267,58.78925621991841,6
tmtr_reference,tmtr_reference,20,0.12284951160351432,0.0801896080374717,0.1594472676515579,14.138626691619796,-29.844630828761264,53.91671495390531,6
tmtr_reference,tmtr_reference,30,0.1358519668380419,0.0869912281632423,0.2284728437662124,30.62838575395942,-42.108892618137965,167.24049024974303,6
tmtr_reference,tmtr_reference,40,0.13992357999086377,0.0821437388658523,0.2088015079498291,34.84899511999935,-46.60991234262726,108.50638398852865,6
tmtr_reference,tmtr_reference,50,0.18262544771035508,0.0702732726931572,0.3009449541568756,53.325651264028636,-17.802643253349043,95.6019741044313,6
tmtr_reference,tmtr_reference,60,0.26787228137254715,0.0872773230075836,0.4865174293518066,147.92981872297,-4.451920266023519,436.3891485527187,6
tmtr_reference,tmtr_reference,70,0.28003868709007895,0.0534118115901947,0.4392749965190887,154.12957844770793,-37.525184703804996,380.902495014669,6
tmtr_reference,tmtr_reference,80,0.38353460530440014,0.1363554000854492,0.4889033138751983,260.295609181109,50.332860736036054,471.8612292427456,6
tmtr_reference,tmtr_reference,90,0.49404577910900116,0.4819546341896057,0.5022897720336914,361.24050497356484,213.2509004524611,473.7532487712345,6
tmtr_reference,tmtr_reference,100,0.49382850527763367,0.4752146005630493,0.4997527301311493,359.68440308175303,224.81893857165565,478.8211183834246,6
