stage,protocol,ahead,augmentation_blocks,mean_mape,min_mape,max_mape,mean_pct,min_pct,max_pct,n
tatr_continuous_chunked,continuous_chunked,1,0,0.0589198308686415,0.0562041513621807,0.0632796287536621,0.0,0.0,0.0,6
tatr_continuous_chunked,continuous_chunked,1,10,0.10253081843256945,0.0816474929451942,0.1393948942422866,74.54315373942751,30.44749193712454,130.39366290360732,6
tatr_continuous_chunked,continuous_chunked,1,20,0.06113541126251217,0.0502666383981704,0.0691966861486435,4.131856132899732,-15.07155035772195,23.116681724697933,6
tatr_continuous_chunked,continuous_chunked,1,30,0.01231039408594365,0.0091961668804287,0.0166994482278823,-78.92016621638678,-85.46741334999298,-70.28787407486912,6
tatr_continuous_chunked,continuous_chunked,1,40,0.022713740123435817,0.0074742822907865,0.0513804256916046,-61.05162838045502,-87.64641069595594,-13.189741048864756,6
tatr_continuous_chunked,continuous_chunked,1,50,0.013862388984610584,0.0082431705668568,0.0189608894288539,-76.56040238458458,-85.72781333276927,-67.91498349508221,6
tatr_continuous_chunked,continuous_chunked,1,60,0.020755338948219966,0.0069786636158823,0.0445483885705471,-64.7110457288101,-87.58336626966992,-21.27640357303828,6
tatr_continuous_chunked,continuous_chunked,1,70,0.01960313739255065,0.0082982676103711,0.0400732830166816,-66.58309849088714,-85.23548988953344,-32.293825345462636,6
tatr_continuous_chunked,continuous_chunked,1,80,0.0181043522122005,0.0106908567249774,0.0294300895184278,-69.18476076737966,-81.48990105518618,-47.992675730815705,6
tatr_continuous_chunked,continuous_chunked,1,90,0.01878379331901665,0.0088160913437604,0.0275672730058431,-68.1019945937087,-84.31416340236271,-53.423466699597455,6
tatr_continuous_chunked,continuous_chunked,1,100,0.020376201719045584,0.0083777550607919,0.0265881959348917,-65.2051003064477,-86.76073923662666,-55.077675144123795,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,0,0.0809583688775698,0.0708852484822273,0.0911335200071334,0.0,0.0,0.0,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,20,0.058517262960473666,0.0465594977140426,0.0636583864688873,-27.29548120615389,-40.6658392882457,-13.733258062254617,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,40,0.018971656604359517,0.0112548964098095,0.0300566665828228,-76.20960698232123,-86.68178199020889,-57.5981361053439,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,60,0.013122782111167866,0.0104877660050988,0.0179729871451854,-83.59859269621064,-88.44524619322172,-78.73208669622896,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,80,0.0156840475586553,0.0107866562902927,0.0225772056728601,-80.10776733555566,-88.16389810308173,-68.14964163027408,6
tatr_continuous_chunked_5ahead,continuous_chunked,5,100,0.017774188425391867,0.0123462611809372,0.0304187647998332,-77.45516797908682,-85.88391699600344,-58.496233974709355,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,0,0.06298017129302019,0.0467657782137393,0.0838332995772361,0.0,0.0,0.0,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,20,0.057298446074128116,0.042348176240921,0.0714619904756546,-6.120644377226616,-33.37283692903965,52.31247340900751,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,40,0.010449321940541217,0.007999044843018,0.0150768375024199,-82.24848520676646,-89.61798836020365,-69.81655977829655,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,60,0.010039901050428533,0.0078892158344388,0.0125974640250206,-83.00669321322637,-88.60390542409893,-74.78020159842941,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,80,0.0155741511844098,0.008486621081829,0.0256988797336816,-75.20085198711571,-86.64784326192336,-63.266887017923864,6
tatr_continuous_refit,continuous_cross_refit_scaler,1,100,0.020301281008869385,0.0099680749699473,0.0441141128540039,-68.24974765003407,-84.31704466450023,-30.13244388401522,6
tatr_independent_fixed,independent_fixed,1,0,0.06459007536371546,0.0591363422572612,0.0718502178788185,0.0,0.0,0.0,6
tatr_independent_fixed,independent_fixed,1,20,0.13798317934075988,0.1062391623854637,0.1638298779726028,113.33718423112441,65.60933458612135,158.3873169999195,6
tatr_independent_fixed,independent_fixed,1,40,0.15798689921696976,0.1013627499341964,0.2077399045228958,148.60365662550427,44.855516378749904,246.31661034637,6
tatr_independent_fixed,independent_fixed,1,60,0.17649451146523154,0.127378836274147,0.2726908922195434,176.18427757339882,98.56260010011476,354.594343261534,6
tatr_independent_fixed,independent_fixed,1,80,0.18048106630643201,0.1411116868257522,0.2389372885227203,182.59237210986427,96.39702006714728,282.6498055347544,6
tatr_independent_fixed,independent_fixed,1,100,0.18956237658858296,0.0855806246399879,0.2600647807121277,193.20159205815742,37.054411132317945,295.9759840612729,6
