eval_year,avg,min,max,n_runs
0,0.011849334164123397,0.0109559278935194,0.0131466956809163,30
10,0.017621843776266428,0.0146937081590294,0.0329325646162033,30
20,0.01529907701270917,0.0133307613432407,0.0228409394621849,30
30,0.014245383873847927,0.0130414357408881,0.0218564625829458,30
40,0.015357517171651075,0.0131459441035985,0.0206182282418012,30
50,0.017308965691232213,0.0133767165243625,0.0268347989767789,30
60,0.018051826561401946,0.0138302315026521,0.0285773910582065,30
70,0.01910956932364826,0.0146495997905731,0.037321601063013,30
80,0.01992238073476717,0.01514149364084,0.0326614864170551,30
90,0.021749850063185555,0.0152615718543529,0.0360177680850029,30
100,0.02397274116187219,0.0141614414751529,0.0461648479104042,30
