dataset,k,variant,runs,baseline_0pct,best_pct,best_mean,best_delta_vs_0pct,best_change_pct,mean_100pct,change_100_vs_0pct,std_at_best,source_file
GOOG,K11,authors,30,0.01185543602332468,0,0.01185543602332468,0.0,0.0,0.13077663605411843,1003.094275038263,0.0005978409320999242,results/tatr/goog/k11/authors/results_matrix.csv
GOOG,K11,single,30,0.01185543602332468,0,0.01185543602332468,0.0,0.0,0.024379189560810685,105.63722424756426,0.0005978409320999242,results/tatr/goog/k11/single/results_matrix.csv
SP500,K14,authors,30,0.06114567543069518,0,0.06114567543069518,0.0,0.0,0.18856628363331157,208.3885856278417,0.010427900783258027,results/tatr/sp500/k14/authors/results_matrix.csv
SP500,K14,random_init,30,0.06114567543069518,0,0.06114567543069518,0.0,0.0,0.1028262058893839,68.16594986497617,0.010427900783258027,results/tatr/sp500/k14/random_init/results_matrix.csv
SP500,K14,single,30,0.06114567543069518,50,0.013177552881340133,-0.04796812254935504,-78.4489208950254,0.01734153296177581,-71.63898699355875,0.0064446554904648064,results/tatr/sp500/k14/single/results_matrix.csv
ZCF,K11,authors,30,0.011293742122749436,0,0.011293742122749436,0.0,0.0,0.019772347124914283,75.07347794922688,0.0004097209612265731,results/tatr/zcf/k11/authors/results_matrix.csv
ZCF,K11,single,30,0.011293742122749436,0,0.011293742122749436,0.0,0.0,0.059957356782009155,430.89008169608064,0.0004097209612265731,results/tatr/zcf/k11/single/results_matrix.csv
