stage,protocol,ahead,seeds,baseline_mape_mean,best_mape_mean,best_pct_mean,best_pct_min,best_pct_max,final_mape_mean,final_pct_mean,final_pct_min,final_pct_max
tatr_continuous_chunked,continuous_chunked,1,6,0.0589198308686415,0.008888394649450933,-84.8547303487678,-87.64641069595594,-77.53664158907506,0.020376201719045584,-65.2051003064477,-86.76073923662666,-55.077675144123795
tatr_continuous_chunked_5ahead,continuous_chunked,5,6,0.0809583688775698,0.0117977087696393,-85.1852873337814,-88.44524619322172,-81.28230332552643,0.017774188425391867,-77.45516797908682,-85.88391699600344,-58.496233974709355
tatr_continuous_refit,continuous_cross_refit_scaler,1,6,0.06298017129302019,0.008733506159236,-85.41956580655517,-89.61798836020365,-78.42067008226252,0.020301281008869385,-68.24974765003407,-84.31704466450023,-30.13244388401522
tatr_independent_fixed,independent_fixed,1,6,0.06459007536371546,0.06459007536371546,0.0,0.0,0.0,0.18956237658858296,193.20159205815742,37.054411132317945,295.9759840612729
