stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tatr_continuous_refit,43,continuous_cross_refit_scaler,1,60,15120,16317,0.0078892158344388,61.19,0.0631396248936653,-87.50512717215982
tatr_continuous_refit,43,continuous_cross_refit_scaler,1,80,20160,21357,0.0190284810960292,103.038,0.0631396248936653,-69.8628537498038
tatr_continuous_refit,43,continuous_cross_refit_scaler,1,100,25200,26397,0.0441141128540039,128.198,0.0631396248936653,-30.13244388401522
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,0,0,1197,0.0874623730778694,8.104,0.0874623730778694,0.0
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,20,5040,4977,0.0596920847892761,18.585,0.0874623730778694,-31.751126011489404
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,40,10080,8757,0.022937124595046,29.991,0.0874623730778694,-73.77486593620705
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,60,15120,12537,0.0104877660050988,42.6,0.0874623730778694,-88.00882523989905
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,80,20160,16317,0.0143757686018943,56.92,0.0874623730778694,-83.56348210550463
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,100,25200,20097,0.0123462611809372,85.585,0.0874623730778694,-85.88391699600344
tatr_continuous_chunked,44,continuous_chunked,1,0,0,1197,0.0562041513621807,8.534,0.0562041513621807,0.0
tatr_continuous_chunked,44,continuous_chunked,1,10,2520,3087,0.114815853536129,13.832,0.0562041513621807,104.28358182343736
tatr_continuous_chunked,44,continuous_chunked,1,20,5040,4977,0.0691966861486435,20.352,0.0562041513621807,23.116681724697933
tatr_continuous_chunked,44,continuous_chunked,1,30,7560,6867,0.0166994482278823,26.328,0.0562041513621807,-70.28787407486912
tatr_continuous_chunked,44,continuous_chunked,1,40,10080,8757,0.0248297415673732,33.249,0.0562041513621807,-55.82222849097065
tatr_continuous_chunked,44,continuous_chunked,1,50,12600,10647,0.0085931858047842,39.726,0.0562041513621807,-84.7107631793788
tatr_continuous_chunked,44,continuous_chunked,1,60,15120,12537,0.0069786636158823,46.338,0.0562041513621807,-87.58336626966992
tatr_continuous_chunked,44,continuous_chunked,1,70,17640,14427,0.0082982676103711,53.872,0.0562041513621807,-85.23548988953344
tatr_continuous_chunked,44,continuous_chunked,1,80,20160,16317,0.0137246260419487,61.052,0.0562041513621807,-75.58076101263957
tatr_continuous_chunked,44,continuous_chunked,1,90,22680,18207,0.0088160913437604,82.423,0.0562041513621807,-84.31416340236271
tatr_continuous_chunked,44,continuous_chunked,1,100,25200,20097,0.0181360971182584,90.718,0.0562041513621807,-67.73174813833765
tatr_independent_fixed,44,independent_fixed,1,0,0,1197,0.062442809343338,8.57,0.062442809343338,0.0
tatr_independent_fixed,44,independent_fixed,1,20,5040,4977,0.1310648173093795,20.45,0.062442809343338,109.89577292835682
tatr_independent_fixed,44,independent_fixed,1,40,10080,8757,0.1826042234897613,32.49,0.062442809343338,192.4343497835324
tatr_independent_fixed,44,independent_fixed,1,60,15120,12537,0.1818816363811493,45.995,0.062442809343338,191.27715151489124
tatr_independent_fixed,44,independent_fixed,1,80,20160,16317,0.2389372885227203,61.402,0.062442809343338,282.6498055347544
tatr_independent_fixed,44,independent_fixed,1,100,25200,20097,0.0855806246399879,94.432,0.062442809343338,37.054411132317945
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,0,0,1197,0.0635599270462989,8.65,0.0635599270462989,0.0
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,20,5040,6237,0.042348176240921,24.045,0.0635599270462989,-33.37283692903965
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,40,10080,11277,0.0099161574617028,41.709,0.0635599270462989,-84.39872743327793
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,60,15120,16317,0.0102397054433822,61.291,0.0635599270462989,-83.88968345428826
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,80,20160,21357,0.008486621081829,103.729,0.0635599270462989,-86.64784326192336
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,100,25200,26397,0.0099680749699473,128.016,0.0635599270462989,-84.31704466450023
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,0,0,1197,0.0708852484822273,8.097,0.0708852484822273,0.0
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,20,5040,4977,0.0611503943800926,18.477,0.0708852484822273,-13.733258062254617
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,40,10080,8757,0.0300566665828228,29.895,0.0708852484822273,-57.5981361053439
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,60,15120,12537,0.0125299673527479,42.747,0.0708852484822273,-82.32358971572276
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,80,20160,16317,0.0225772056728601,56.872,0.0708852484822273,-68.14964163027408
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,100,25200,20097,0.0185484979301691,86.033,0.0708852484822273,-73.83306353956046
tatr_continuous_chunked,45,continuous_chunked,1,0,0,1197,0.0605029202997684,8.642,0.0605029202997684,0.0
tatr_continuous_chunked,45,continuous_chunked,1,10,2520,3087,0.1393948942422866,13.795,0.0605029202997684,130.39366290360732
tatr_continuous_chunked,45,continuous_chunked,1,20,5040,4977,0.0552722886204719,20.035,0.0605029202997684,-8.645254895764962
tatr_continuous_chunked,45,continuous_chunked,1,30,7560,6867,0.0110745802521705,26.503,0.0605029202997684,-81.69579220754922
tatr_continuous_chunked,45,continuous_chunked,1,40,10080,8757,0.0074742822907865,32.837,0.0605029202997684,-87.64641069595594
tatr_continuous_chunked,45,continuous_chunked,1,50,12600,10647,0.0107340784743428,39.675,0.0605029202997684,-82.25857789812521
tatr_continuous_chunked,45,continuous_chunked,1,60,15120,12537,0.0257857013493776,46.276,0.0605029202997684,-57.381063225346
tatr_continuous_chunked,45,continuous_chunked,1,70,17640,14427,0.0103829503059387,53.779,0.0605029202997684,-82.83892702286893
tatr_continuous_chunked,45,continuous_chunked,1,80,20160,16317,0.0275067929178476,61.024,0.0605029202997684,-54.53642108254915
tatr_continuous_chunked,45,continuous_chunked,1,90,22680,18207,0.026230463758111,84.436,0.0605029202997684,-56.645954231383755
tatr_continuous_chunked,45,continuous_chunked,1,100,25200,20097,0.0259599797427654,92.318,0.0605029202997684,-57.0930136691852
tatr_independent_fixed,45,independent_fixed,1,0,0,1197,0.0718502178788185,8.552,0.0718502178788185,0.0
tatr_independent_fixed,45,independent_fixed,1,20,5040,4977,0.1638298779726028,20.039,0.0718502178788185,128.01584018703437
tatr_independent_fixed,45,independent_fixed,1,40,10080,8757,0.1475930660963058,32.645,0.0718502178788185,105.41770150959604
tatr_independent_fixed,45,independent_fixed,1,60,15120,12537,0.1774543076753616,48.667,0.0718502178788185,146.97810655863756
tatr_independent_fixed,45,independent_fixed,1,80,20160,16317,0.1411116868257522,61.462,0.0718502178788185,96.39702006714728
tatr_independent_fixed,45,independent_fixed,1,100,25200,20097,0.1988658457994461,93.405,0.0718502178788185,176.77834761037226
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,0,0,1197,0.0467657782137393,8.639,0.0467657782137393,0.0
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,20,5040,6237,0.0712301135063171,24.175,0.0467657782137393,52.31247340900751
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,40,10080,11277,0.0109912622720003,41.62,0.0467657782137393,-76.49721079853391
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,60,15120,16317,0.0117373578250408,61.381,0.0467657782137393,-74.90182292830426
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,80,20160,21357,0.0171785261482,102.593,0.0467657782137393,-63.266887017923864
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,100,25200,26397,0.0100917415693402,132.593,0.0467657782137393,-78.42067008226252
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,0,0,1197,0.0845075249671936,8.149,0.0845075249671936,0.0
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,20,5040,4977,0.0621967203915119,18.484,0.0845075249671936,-26.400967942609732
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,40,10080,8757,0.0112548964098095,29.949,0.0845075249671936,-86.68178199020889
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,60,15120,12537,0.0179729871451854,42.721,0.0845075249671936,-78.73208669622896
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,80,20160,16317,0.0145957376807928,56.894,0.0845075249671936,-82.72847573460594
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,100,25200,20097,0.0159811563789844,89.043,0.0845075249671936,-81.08907297286439
tatr_continuous_chunked,46,continuous_chunked,1,0,0,1197,0.0565883554518222,8.554,0.0565883554518222,0.0
tatr_continuous_chunked,46,continuous_chunked,1,10,2520,3087,0.097391165792942,13.833,0.0565883554518222,72.10460529438467
tatr_continuous_chunked,46,continuous_chunked,1,20,5040,4977,0.0610245391726493,20.395,0.0565883554518222,7.839393255744903
tatr_continuous_chunked,46,continuous_chunked,1,30,7560,6867,0.012711645103991,26.226,0.0565883554518222,-77.53664158907506
tatr_continuous_chunked,46,continuous_chunked,1,40,10080,8757,0.0271757431328296,32.761,0.0565883554518222,-51.97643947089734
tatr_continuous_chunked,46,continuous_chunked,1,50,12600,10647,0.0181563831865787,39.573,0.0565883554518222,-67.91498349508221
tatr_continuous_chunked,46,continuous_chunked,1,60,15120,12537,0.0445483885705471,46.005,0.0565883554518222,-21.27640357303828
tatr_continuous_chunked,46,continuous_chunked,1,70,17640,14427,0.0233836490660905,53.439,0.0565883554518222,-58.677630973038774
tatr_continuous_chunked,46,continuous_chunked,1,80,20160,16317,0.0294300895184278,61.411,0.0565883554518222,-47.992675730815705
tatr_continuous_chunked,46,continuous_chunked,1,90,22680,18207,0.0260361339896917,81.825,0.0565883554518222,-53.99029750589207
tatr_continuous_chunked,46,continuous_chunked,1,100,25200,20097,0.018030485138297,92.11,0.0565883554518222,-68.13746398117601
tatr_independent_fixed,46,independent_fixed,1,0,0,1197,0.0591363422572612,8.664,0.0591363422572612,0.0
tatr_independent_fixed,46,independent_fixed,1,20,5040,4977,0.1135178655385971,20.185,0.0591363422572612,91.95956531224002
tatr_independent_fixed,46,independent_fixed,1,40,10080,8757,0.1627254039049148,32.544,0.0591363422572612,175.16988317777495
