run_idx,synthetic_pct,mae,dataset,k,variant,source_file
6,20,0.0646275132894516,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,20,0.036353699862957,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,20,0.0190570894628763,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,20,0.061153519898653,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,20,0.0425057485699653,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,20,0.0210236925631761,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,20,0.0278464686125516,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,20,0.0590514540672302,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,20,0.01960114762187,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,20,0.0227904953062534,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,20,0.0692918598651886,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,20,0.0337299406528472,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,20,0.0582697913050651,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,20,0.0247471760958433,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,20,0.0308869779109954,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,20,0.0368704833090305,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,20,0.0177857391536235,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,20,0.0328150875866413,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,20,0.0228190720081329,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,20,0.0329986214637756,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,20,0.0448531210422515,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,20,0.0298743937164545,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,20,0.0345610901713371,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,20,0.0370282270014286,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,30,0.039619505405426,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,30,0.0409881137311458,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
