synthetic_proportion_pct,avg,min,max
0,0.10200846443573634,0.07734071463346481,0.15608012676239014
10,0.09799986829360326,0.0803278237581253,0.17068146169185638
20,0.1207181562980016,0.10057063400745392,0.17826063930988312
30,0.13107410818338394,0.11978236585855484,0.18458765745162964
40,0.12530251095692316,0.08935439586639404,0.226999431848526
50,0.15914413332939148,0.12064649164676666,0.3182290494441986
60,0.21916369100411734,0.14852456748485565,0.3578757345676422
70,0.3294054369131724,0.2781531512737274,0.47520074248313904
80,0.3718602458635966,0.30979689955711365,0.5032374262809753
90,0.4582715928554535,0.4437503218650818,0.4980343282222748
100,0.48458244403203327,0.46212032437324524,0.49696046113967896
