seed,sample_id,family,persistence,n_obs,pooled_delta,acf_r_lag1,acf_abs_r_lag1,signed_stylized_distance,magnitude_path_distance
4,iid_signs,iid_signs,,1000,0.425786427267307,0.007817988617336978,0.3846118050216271,0.8226944175929072,0.0
4,markov_signs_p0.55,markov_signs,0.55,1000,0.5021887014737898,0.16109779366283236,0.3846118050216271,0.819744832408637,0.0
4,markov_signs_p0.65,markov_signs,0.65,1000,0.2670765723920337,0.034111307943567766,0.3846118050216271,0.5577116738502887,0.0
4,markov_signs_p0.75,markov_signs,0.75,1000,1.3266442779024559,0.34584369160393674,0.3846118050216271,1.0984196243628592,0.0
4,markov_signs_p0.85,markov_signs,0.85,1000,1.4702828425228112,0.435609888722402,0.3846118050216271,0.5533520403748766,0.0
4,markov_signs_p0.90,markov_signs,0.9,1000,1.8796850931701237,0.4445078142557799,0.3846118050216271,3.117880695749487,0.0
5,real_eval,real,,1000,0.1340077208820632,0.021275130420551746,0.19928377974387665,0.0,0.0
5,iid_signs,iid_signs,,1000,0.11432315170022049,-0.0014848003556958253,0.19928377974387665,0.7100447945864607,0.0
5,markov_signs_p0.55,markov_signs,0.55,1000,0.06292496871112391,-0.003625907299743326,0.19928377974387665,0.4897849918887248,0.0
5,markov_signs_p0.65,markov_signs,0.65,1000,0.15706694606982768,0.10888723173530765,0.19928377974387665,0.36085643916811033,0.0
5,markov_signs_p0.75,markov_signs,0.75,1000,0.3372399243523944,0.23280838650810903,0.19928377974387665,0.45850432767419996,0.0
5,markov_signs_p0.85,markov_signs,0.85,1000,0.43024694885413267,0.33145753779701215,0.19928377974387665,0.7412141990678838,0.0
5,markov_signs_p0.90,markov_signs,0.9,1000,0.6647167911982278,0.47627831958606026,0.19928377974387665,0.10189310135536112,0.0
6,real_eval,real,,1000,0.14773651850707456,-0.023314802325394447,0.23843239724476434,0.0,0.0
6,iid_signs,iid_signs,,1000,0.12799791411409275,-0.025858086534304228,0.23843239724476434,0.4228231442678714,0.0
6,markov_signs_p0.55,markov_signs,0.55,1000,0.1295593137200514,0.08745310761761074,0.23843239724476434,0.4264623507408423,0.0
6,markov_signs_p0.65,markov_signs,0.65,1000,0.18136267083353863,0.1630787188845623,0.23843239724476434,0.6155357716485759,0.0
6,markov_signs_p0.75,markov_signs,0.75,1000,0.28988126639516226,0.26406022544295327,0.23843239724476434,0.47367709567781674,0.0
6,markov_signs_p0.85,markov_signs,0.85,1000,0.6362626668825401,0.4525779678275387,0.23843239724476434,0.37150025801787756,0.0
6,markov_signs_p0.90,markov_signs,0.9,1000,0.5870447579245964,0.45543186206822245,0.23843239724476434,0.7899527010701973,0.0
7,real_eval,real,,1000,0.06686162494331414,0.018675560277628525,0.19407709530575007,0.0,0.0
7,iid_signs,iid_signs,,1000,0.0730820510255752,-0.03725537259314957,0.19407709530575007,0.73960733489802,0.0
7,markov_signs_p0.55,markov_signs,0.55,1000,0.1106553487841999,0.07948792455829891,0.19407709530575007,1.01737311946954,0.0
7,markov_signs_p0.65,markov_signs,0.65,1000,0.13558668136696425,0.0891167859440733,0.19407709530575007,0.09519051644025332,0.0
7,markov_signs_p0.75,markov_signs,0.75,1000,0.3265104651573522,0.26261425500235197,0.19407709530575007,0.589917026686947,0.0
7,markov_signs_p0.85,markov_signs,0.85,1000,0.5707490558541191,0.39891690372394545,0.19407709530575007,2.9371360626459384,0.0
7,markov_signs_p0.90,markov_signs,0.9,1000,0.6523902049767837,0.4978191818866689,0.19407709530575007,0.8750762091046923,0.0
8,real_eval,real,,1000,0.052833027921148884,0.03812718737292466,0.07457899486697704,0.0,0.0
8,iid_signs,iid_signs,,1000,0.04212691852343453,-0.021252223275020785,0.07457899486697704,0.42113684140755947,0.0
8,markov_signs_p0.55,markov_signs,0.55,1000,0.043967431542947424,0.032434155324529104,0.07457899486697704,0.7315507794683939,0.0
8,markov_signs_p0.65,markov_signs,0.65,1000,0.1723310121095941,0.21613969990943196,0.07457899486697704,0.36940900022028106,0.0
8,markov_signs_p0.75,markov_signs,0.75,1000,0.2602679552201769,0.29287266984078014,0.07457899486697704,0.32859409738342255,0.0
8,markov_signs_p0.85,markov_signs,0.85,1000,0.39297241871303945,0.41500488285533615,0.07457899486697704,0.30447525288078087,0.0
8,markov_signs_p0.90,markov_signs,0.9,1000,0.46772051778331974,0.47681535066922226,0.07457899486697704,0.40884065079841936,0.0
9,real_eval,real,,1000,0.11793717571262818,-0.015447580905094384,0.06821947834029403,0.0,0.0
9,iid_signs,iid_signs,,1000,0.048506202826217794,0.051431874970904706,0.06821947834029403,0.5547292094342168,0.0
9,markov_signs_p0.55,markov_signs,0.55,1000,0.1309759969873407,0.10416126655076438,0.06821947834029403,0.2346967683892047,0.0
9,markov_signs_p0.65,markov_signs,0.65,1000,0.16031398483469933,0.21566824297541626,0.06821947834029403,0.7123388579443507,0.0
9,markov_signs_p0.75,markov_signs,0.75,1000,0.2399494056679095,0.274283031734273,0.06821947834029403,0.7483499960351635,0.0
9,markov_signs_p0.85,markov_signs,0.85,1000,0.3893320923864008,0.43240897474369544,0.06821947834029403,0.42638547138676497,0.0
9,markov_signs_p0.90,markov_signs,0.9,1000,0.44088960648090764,0.4563669391017521,0.06821947834029403,1.0983064092100616,0.0
10,real_eval,real,,1000,0.16151436484320106,-0.010393776058534754,0.30192173313952136,0.0,0.0
10,iid_signs,iid_signs,,1000,0.2688448344299114,0.07871838083783554,0.30192173313952136,1.1079276213823985,0.0
10,markov_signs_p0.55,markov_signs,0.55,1000,0.28049045522169275,0.11257160298911541,0.30192173313952136,0.6518673738526343,0.0
10,markov_signs_p0.65,markov_signs,0.65,1000,0.4022006217635004,0.11862899257588314,0.30192173313952136,0.39108813807289644,0.0
10,markov_signs_p0.75,markov_signs,0.75,1000,0.7251824272503286,0.30743228716756976,0.30192173313952136,0.22778873909250108,0.0
10,markov_signs_p0.85,markov_signs,0.85,1000,1.233599725023682,0.41664463120021267,0.30192173313952136,0.5902361314077275,0.0
10,markov_signs_p0.90,markov_signs,0.9,1000,1.1426076561495715,0.4257871929663894,0.30192173313952136,0.6712016263204877,0.0
11,real_eval,real,,1000,0.08691077031795684,-0.028617465512534763,0.17749733477456667,0.0,0.0
11,iid_signs,iid_signs,,1000,0.12963698421669329,-0.051968112490412464,0.17749733477456667,0.3153082117919883,0.0
11,markov_signs_p0.55,markov_signs,0.55,1000,0.07500108522716704,-0.043905144597299134,0.17749733477456667,0.5510627651727784,0.0
11,markov_signs_p0.65,markov_signs,0.65,1000,0.1908713370474713,0.14785909289086677,0.17749733477456667,0.19145965734180218,0.0
11,markov_signs_p0.75,markov_signs,0.75,1000,0.3363504859973066,0.31327532968170585,0.17749733477456667,0.335536775176114,0.0
11,markov_signs_p0.85,markov_signs,0.85,1000,0.4348593895507306,0.42558631440461797,0.17749733477456667,0.33928163582703663,0.0
11,markov_signs_p0.90,markov_signs,0.9,1000,0.5357456274841764,0.46084422387937046,0.17749733477456667,1.2330030544553772,0.0
12,real_eval,real,,1000,0.08615978392759117,-0.005116918084978895,0.17011360298568914,0.0,0.0
12,iid_signs,iid_signs,,1000,0.12721306171397348,-0.028839354421093037,0.17011360298568914,0.5034370793993896,0.0
12,markov_signs_p0.55,markov_signs,0.55,1000,0.2690247658767164,0.04982279044414988,0.17011360298568914,0.6121683358748778,0.0
12,markov_signs_p0.65,markov_signs,0.65,1000,0.4597520158136616,0.17290659597068292,0.17011360298568914,0.5300471273995607,0.0
12,markov_signs_p0.75,markov_signs,0.75,1000,0.9010596995976758,0.3737228138155003,0.17011360298568914,0.5848066212994556,0.0
12,markov_signs_p0.85,markov_signs,0.85,1000,0.8792226567930419,0.3548282134530104,0.17011360298568914,0.36855048404607066,0.0
12,markov_signs_p0.90,markov_signs,0.9,1000,1.2388964291835904,0.46657426307946415,0.17011360298568914,0.7899652321522528,0.0
13,real_eval,real,,1000,0.08257077216207155,0.02602862862762328,0.15197185807681216,0.0,0.0
13,iid_signs,iid_signs,,1000,0.07582638233515922,-0.013604035955655359,0.15197185807681216,0.2507117654300165,0.0
13,markov_signs_p0.55,markov_signs,0.55,1000,0.17100868184391563,0.09127779993149562,0.15197185807681216,2.430706686536071,0.0
13,markov_signs_p0.65,markov_signs,0.65,1000,0.28486456515580477,0.1908278804239449,0.15197185807681216,1.1849673999524435,0.0
13,markov_signs_p0.75,markov_signs,0.75,1000,0.4143451476065595,0.3135085007958336,0.15197185807681216,1.8767475725387655,0.0
13,markov_signs_p0.85,markov_signs,0.85,1000,0.712145593410574,0.44288367743642193,0.15197185807681216,2.7997173105775777,0.0
13,markov_signs_p0.90,markov_signs,0.9,1000,0.7065271316868527,0.45271722930984937,0.15197185807681216,0.8457218741300616,0.0
14,real_eval,real,,1000,0.132022533827792,-0.025972920454542546,0.12488860435579538,0.0,0.0
14,iid_signs,iid_signs,,1000,0.04634650894027115,-0.02796867892529094,0.12488860435579538,0.45535229520424475,0.0
14,markov_signs_p0.55,markov_signs,0.55,1000,0.02749207223352359,0.015644738474888207,0.12488860435579538,0.5869322526170232,0.0
14,markov_signs_p0.65,markov_signs,0.65,1000,0.15930726482837634,0.18533527467515806,0.12488860435579538,1.439958823436482,0.0
14,markov_signs_p0.75,markov_signs,0.75,1000,0.31400991998040517,0.32647669333911433,0.12488860435579538,1.6120345995241225,0.0
14,markov_signs_p0.85,markov_signs,0.85,1000,0.5262064039118491,0.46241383050512186,0.12488860435579538,0.24040143764811583,0.0
14,markov_signs_p0.90,markov_signs,0.9,1000,0.592566854560279,0.5006993810768514,0.12488860435579538,0.3319757100802928,0.0
15,real_eval,real,,1000,0.04695360474090806,0.06962068385665339,0.11236071650637082,0.0,0.0
15,iid_signs,iid_signs,,1000,0.023597468713570015,-0.010965701577176289,0.11236071650637082,0.978932230762606,0.0
15,markov_signs_p0.55,markov_signs,0.55,1000,0.09401758365674613,0.09477787192463898,0.11236071650637082,0.8694577602802808,0.0
15,markov_signs_p0.65,markov_signs,0.65,1000,0.16429448976303473,0.20463231036002022,0.11236071650637082,0.4642489960524125,0.0
15,markov_signs_p0.75,markov_signs,0.75,1000,0.13711260414571597,0.27808225809027326,0.11236071650637082,1.4036089966360976,0.0
