asset,k,protocol,runs_min,runs_max,cols,baseline,best_col,best,best_pct_vs_base,final_col,final,final_pct_vs_base,slope_per_pct,corr_aug_mean,down_steps,up_steps,mean_std_across_cols,path
goog,k11,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.01185543602332468,0,0.01185543602332468,0.0,100,0.13077663605411843,1003.0942750382628,0.0013377665033225312,0.9827373692761273,1,9,0.052537421697998556,results/tatr/goog/k11/authors/results_matrix.csv
goog,k11,single,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.01185543602332468,0,0.01185543602332468,0.0,100,0.024379189560810685,105.63722424756425,9.591426635443261e-05,0.8923886916729866,2,8,0.003577282189701707,results/tatr/goog/k11/single/results_matrix.csv
goog,k14,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011663357261568271,0,0.011663357261568271,0.0,100,0.11924227116008597,922.3666178262338,0.001207807240979464,0.9912050859521461,1,9,0.03693316126503832,results/tatr/goog/k14/authors/results_matrix.csv
goog,k14,single,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011663357261568271,0,0.011663357261568271,0.0,100,0.03171263172601655,171.899685612069,0.00018558034670510974,0.9613304516030934,2,8,0.006217465440154047,results/tatr/goog/k14/single/results_matrix.csv
sp500,k14,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.061145675430695184,0,0.061145675430695184,0.0,100,0.18856628363331157,208.38858562784165,0.0011993457413080968,0.9773440129567595,1,9,0.039317794793666656,results/tatr/sp500/k14/authors/results_matrix.csv
sp500,k14,random_init,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.061145675430695184,0,0.061145675430695184,0.0,100,0.10282620588938392,68.16594986497617,0.00022665395215153738,0.6509025368147942,4,6,0.014605813712325465,results/tatr/sp500/k14/random_init/results_matrix.csv
sp500,k14,single,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.061145675430695184,50,0.013177552881340131,-78.44892089502541,100,0.01734153296177581,-71.63898699355875,-0.0006146157105086426,-0.7356629210369777,6,4,0.008888909160866555,results/tatr/sp500/k14/single/results_matrix.csv
zcf,k11,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011293742122749436,0,0.011293742122749436,0.0,100,0.019772347124914283,75.07347794922688,6.587186602480483e-05,0.8832904790337901,0,10,0.0007347452876741809,results/tatr/zcf/k11/authors/results_matrix.csv
zcf,k11,single,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011293742122749436,0,0.011293742122749436,0.0,100,0.05995735678200917,430.89008169608076,0.00044884188744154853,0.7621568938275168,2,8,0.06075614444331195,results/tatr/zcf/k11/single/results_matrix.csv
zcf,k13,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011135623138397869,0,0.011135623138397869,0.0,100,0.020980733881394018,88.41095483061228,7.637579552829283e-05,0.8622698641950183,1,9,0.0012318867890429768,results/tatr/zcf/k13/authors/results_matrix.csv
zcf,k14,authors,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011475053243339021,0,0.011475053243339021,0.0,100,0.04638859356443084,304.25602026167724,0.0003120831277672993,0.8592143898104997,1,9,0.004970919812847785,results/tatr/zcf/k14/authors/results_matrix.csv
zcf,k14,single,30,30,"0,10,20,30,40,50,60,70,80,90,100",0.011475053243339021,0,0.011475053243339021,0.0,100,0.03452444610496357,200.865236725626,0.00020175408261517678,0.9572096309844798,0,10,0.0025004905721479694,results/tatr/zcf/k14/single/results_matrix.csv
