eval_year,avg,min,max,n_runs
0,0.01125339807809458,0.0108573101460933,0.0128737399354577,30
10,0.015099915043849985,0.0144460704177618,0.0159640256315469,30
20,0.016258686747667988,0.0155196553096175,0.0170262921601533,30
30,0.017126187615628712,0.016169473528862,0.0186089314520359,30
40,0.017890712645436988,0.0168747100979089,0.0194764342159032,30
50,0.018144879024475768,0.0170296318829059,0.0196124576032161,30
60,0.01862538160224041,0.0172249730676412,0.019908944144845,30
70,0.01891907470832974,0.017502436414361,0.0203044228255748,30
80,0.01922897908038321,0.0177066791802644,0.0212195217609405,30
90,0.01929971928309112,0.0178150851279497,0.0216101799160242,30
100,0.01976537292024914,0.0181047935038805,0.0222207251936197,30
