eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.01129432898014779,0.0004096267519023442,0.011162227923050471,0.011454902745317627,30
10,0.014849207332978598,0.00042977323951633064,0.014698924053615529,0.015014918902888846,30
20,0.015748433365176073,0.0006011912306574891,0.01553030882884432,0.015962988412938965,30
30,0.016073850449174597,0.0006364317734845447,0.015853689376575202,0.016305468095621667,30
40,0.016501740925013962,0.000456566980234282,0.016337850258375152,0.0166604215682794,30
50,0.016581747774034688,0.0005165773095157565,0.01639399821559583,0.016762768343711838,30
60,0.016776212553183182,0.0006296158222636748,0.016546868626028246,0.017002097354270457,30
70,0.016762242342034935,0.0005925769386638747,0.016550356062749978,0.016973079177550927,30
80,0.016781109261016006,0.0005318464186976216,0.01658890712385372,0.016970272040925886,30
90,0.016973666815708034,0.0007616174717593128,0.016705566188320472,0.01725644572017088,30
100,0.016824639774858905,0.0005038653897143324,0.016651466654924018,0.017007986345949216,30
