n_runs,mean_y0,mean_y10,mean_y20,mean_y30,mean_y40,mean_y50,mean_y60,mean_y70,mean_y80,mean_y90,mean_y100
1,0.011635231785476208,0.015214827843010426,0.016681764274835587,0.015979113057255745,0.017076710239052773,0.01645483262836933,0.01808715984225273,0.01637984812259674,0.017315855249762535,0.01714446395635605,0.0164786484092474
2,0.011335455346852541,0.01520170085132122,0.01610676571726799,0.01575144426897168,0.01699435617774725,0.0163034126162529,0.017621854320168495,0.01625289022922516,0.01689709909260273,0.017950485460460186,0.017161892727017403
3,0.011251058429479599,0.015098832237223784,0.015863429754972458,0.015765789585808914,0.016491520528992016,0.016770985598365467,0.017260811602075894,0.016328570743401844,0.016826264560222626,0.017800162856777508,0.01677839644253254
4,0.011336808558553457,0.015267566544935107,0.015661886194720864,0.01581401308067143,0.01648332504555583,0.016829376108944416,0.017442410811781883,0.016617080196738243,0.016709383111447096,0.017428088001906872,0.01669407496228814
5,0.011240909434854984,0.01507878266274929,0.01577224154025316,0.015959988348186016,0.01655878871679306,0.01690092608332634,0.017321309819817544,0.016505116969347,0.01673760376870632,0.017047901637852192,0.01681106984615326
6,0.011271994716177383,0.015076905488967896,0.015751282529284556,0.01604171609506011,0.016506883315742016,0.016800790404280026,0.017328364464143913,0.016429932167132694,0.016752013005316257,0.017077072989195585,0.016816645860671997
7,0.01125247882945197,0.014970018129263605,0.015733007341623306,0.015913016428904875,0.016453243792057037,0.016670907980629375,0.01716707567019122,0.01645614765584469,0.01670109374182565,0.017003487928637435,0.016753902924912318
8,0.011233810218982399,0.014889180311001837,0.01569715072400868,0.01603932643774897,0.016500790137797594,0.016664991155266762,0.017102414974942803,0.01631828222889453,0.01667998149059713,0.01699190365616232,0.016749883769080043
9,0.011236759937471814,0.014871799180077182,0.01564627606421709,0.015936438201202288,0.01646860937277476,0.016643944299883313,0.017076405593090586,0.016348196504016716,0.016690570240219433,0.017145651806559827,0.01675139574540986
10,0.011203043442219496,0.014990234654396773,0.015672041196376087,0.015857204794883728,0.016407372802495955,0.016505550500005482,0.017081661522388457,0.016390041913837194,0.016759132593870164,0.01712678959593177,0.016869943030178546
11,0.011220479214733297,0.014998873611065474,0.01574001486667178,0.015921339731324802,0.016405255110426384,0.016559201292693615,0.017031081528826195,0.016546866517852653,0.01684431680901484,0.017056295394220135,0.016857254911552776
12,0.011189054232090712,0.014991218456998467,0.015679170455162723,0.0159479893433551,0.016445158359905083,0.016551601933315396,0.01694572965304057,0.01656840469998618,0.016882872053732473,0.01706845088241001,0.01687636474768321
13,0.011264694209855337,0.014968618034170223,0.01567206481614938,0.015878829603584912,0.016465498994176205,0.01654363416421872,0.01690428675367282,0.016633849376096174,0.016949934168503836,0.017045273875387814,0.016899066905562695
14,0.011264614760875702,0.014941022199179445,0.015708036787275757,0.015904900152236223,0.01651764035757099,0.016568754334002733,0.01684934233448335,0.016630413875515972,0.0169228000034179,0.01703879243827292,0.016902582719922066
15,0.011272412103911241,0.01493273073186477,0.01565753606458505,0.015929785557091236,0.016523347422480582,0.016601777883867422,0.01677010307709376,0.016657205857336523,0.016874840731422105,0.017072415538132192,0.0168423010657231
16,0.011268500704318285,0.014923381619155407,0.015607948356773704,0.01589998760027811,0.016515973024070263,0.01660026522586122,0.016672600875608623,0.016649638128001243,0.016846946673467755,0.017031882365699857,0.016825024969875813
17,0.011260927161749671,0.014969301903072526,0.015601958422099842,0.015927292023073223,0.016500227701138046,0.016601728439769325,0.01664405031239285,0.01665235699757057,0.016865706838229123,0.017110899802954757,0.016840908128549072
18,0.011259669438004494,0.014957148271302382,0.01564443628821108,0.01593051462744673,0.016522488970723417,0.016626143879774544,0.016622840633822814,0.016647736593667004,0.016808498443828687,0.017055147275742557,0.01683961920854118
19,0.011344621006987597,0.01493870520866231,0.015596272374846433,0.015908798987143917,0.01649232071481253,0.01666386273542517,0.016645817380202443,0.0166603428262629,0.01681467273125523,0.017055921305559184,0.01684050791357693
20,0.011355696665123104,0.014936733385547995,0.015613814769312739,0.01591826295480132,0.016455399058759212,0.016654194006696342,0.01668464979156852,0.016661205748096108,0.01677301377058029,0.017091655312106012,0.016813870053738356
21,0.011342263159652552,0.01493253909228813,0.01559392407181717,0.015924269865666116,0.01649140531108493,0.016667825790743034,0.01671710211251463,0.016687024251690934,0.016722456685134342,0.017128845100246724,0.01684980812881674
22,0.011333584150468761,0.014906675046817823,0.01562078974463723,0.01595734390006824,0.01651891346343539,0.01665685668757016,0.0167365808209235,0.016732770399275152,0.01672531283375892,0.01708218010819771,0.016842233948409557
23,0.011318699861674206,0.014889387332874796,0.015657705133375915,0.01605122665996137,0.016518859597651855,0.016645356648318146,0.016726199375546497,0.016762992812563545,0.01674781731613304,0.017088735759582207,0.01685151692641818
24,0.011335638041297594,0.014882449681560198,0.015700942914312083,0.016060061054304242,0.01652835845015943,0.016646666180652876,0.016745510588710506,0.01675886455147217,0.0167430747145166,0.017099158256314695,0.016885476109261315
25,0.01132164902985096,0.014875954166054726,0.015742636248469354,0.016079316288232802,0.01654440112411976,0.016628717817366124,0.016760151833295822,0.01676139999181032,0.01673064075410366,0.01703761752694845,0.01687535159289837
26,0.011318359810572404,0.014867582644980688,0.015728924065255202,0.016084834861640748,0.016545345576909874,0.016585224200613223,0.016741504677786276,0.01671732897655322,0.016742089548363134,0.017007172501717623,0.01685789614342726
27,0.011308749275351013,0.01488194428384304,0.01574992105640747,0.016102205203087243,0.0165560324848802,0.016559671093192365,0.016747874725196097,0.0167459759309336,0.016719339346444165,0.017009905470466172,0.016835735076003604
28,0.011293513467535377,0.014870384874354516,0.01574625913053751,0.01608275918156973,0.016535018836813315,0.016558970491002713,0.01674467757610338,0.016735217068344355,0.016732304889176573,0.016989269726244465,0.016814577393233776
29,0.011297553006944985,0.014846361338578421,0.01577413756528805,0.016095707417819006,0.01652334752524721,0.016565136707805354,0.016751581289131064,0.01675742119550705,0.01675111209524089,0.016984915585610372,0.016803382414168323
30,0.011294328980147839,0.014849207332978646,0.01574843336517612,0.016073850449174643,0.016501740925014018,0.01658174777403474,0.016776212553183237,0.016762242342034977,0.01678110926101605,0.01697366681570808,0.01682463977485895
